(0.34760144802789306,0.67202958393121426)
(0.28067807490721697,0.71374933649226380)
(9.25458057140781665E-002,0.96142946015216113)
(-5.51850779084131493E-002,1.1817460941288587)
(-0.16744398049545522,1.0350537062350789)
(-0.28840486756776590,0.79672135662226662)
(-0.32735190614222032,0.91809143405214222)
(-0.24548788297707336,1.0927200378450284)
(-0.14694308331520178,1.0597427772245342)
(-9.39679378797623754E-002,1.1416466261135358)
(2.17283019371412589E-002,1.2175961059979259)
(0.23512530945542728,1.0057805257465584)
(0.31463299629298852,0.94436659969568970)
(0.15989440524285281,1.1704516859137424)
(3.19009671026539154E-003,1.2034327751811311)
(-4.38316909488363216E-002,1.1275908741368745)
(-4.14606410562207706E-002,1.1527422030419312)
(7.85130544188986090E-002,0.96457336985054232)
(0.28910353823995338,0.71860103840946810)
(0.40121829846983925,0.81853066699569310)
(0.45603721165081473,0.87027782251796704)
(0.62017746435735532,0.58114515184069837)
(0.83233686408178387,0.40538361599960138)
(0.90804758277497777,0.48522665116998842)
(0.76340549140758873,0.46804153190444953)
(0.53939924190952737,0.23584647476581216)
(0.49511370919338693,-8.58315445544385880E-002)
(0.59279628162124076,-0.35152080414680098)
(0.56772365843345163,-0.49487561437076477)
(0.45874442284397854,-0.58185450423384366)
(0.48331219952600174,-0.63632092630708015)
(0.59496717477675176,-0.71506015236194220)
(0.60543184987805432,-0.93979279377828073)
(0.43132544077195767,-1.1106258760088337)
(0.14940609566609170,-1.0158437057048071)
(-6.35717790905928060E-002,-0.94240189340966651)
(-0.22411973680613534,-0.99722140311562479)
(-0.48818141499264450,-0.80165945263927307)
(-0.69273906642314942,-0.44335393477289819)
(-0.61387297050313805,-0.50922107113857284)
(-0.48690437799285580,-0.96716004128859101)
(-0.53013620063284261,-1.0982164987697807)
(-0.48429325049765559,-0.69451378736140423)
(-0.19096784172239162,-0.45598218751952557)
(2.88313889183125227E-002,-0.73928823954447154)
(-6.04830814697445707E-002,-0.94020314393533477)
(-0.17758014398065075,-0.79011430250571379)
(1.89355841835306335E-002,-0.73866704239541570)
(0.34518450471552731,-0.75615034582655560)
(0.44140649487160383,-0.57747507993977565)
(0.45498803906433760,-0.47937604116084165)
(0.70579693625734996,-0.49630556831437689)
(1.0372106080551768,-0.37595261921404716)
(1.1411134180998832,-0.30974936945386083)
(1.0276044547016077,-0.23395627472395886)
(0.84281420412098385,0.17033338569705556)
(0.68545275474204170,0.46996968113887694)
(0.58040295725834778,0.43304268538243418)
(0.50224351917777021,0.62259624057941410)
(0.56081249852621395,0.86105551363834454)
(0.79474669570765655,0.58755190263634327)
(0.87184054226707586,0.35077925935643262)
(0.66998023588580757,0.63387961375367396)
(0.59498499082567102,0.89269983700547995)
(0.75798340056198543,0.80521295602338239)
(0.81072888404538868,0.57003897869798670)
(0.71860892190567505,0.33574594496409194)
(0.68283327809325856,0.32426003520188107)
(0.65673099673043733,0.50527787434753968)
(0.60193290687102818,0.45175542740055946)
(0.66124534100897758,0.19055767838768578)
(0.86473644445459419,0.10676425786694652)
(1.0349160115400682,0.13105270552944556)
(0.99742189670286696,4.83411642601649927E-002)
(0.86186276059242306,-2.30729230515456518E-002)
(0.87260789141291184,7.28571044729016681E-002)
(0.91382239228157225,0.28367871587212201)
(0.82081787521442517,0.42204088595074196)
(0.87466889213699428,0.38203273751107419)
(1.0984892197221308,0.25338676985432956)
(1.0378572270183934,0.12306352529617076)
(0.80664784245827081,4.68846940572373860E-002)
(0.88967299143023615,7.88002622047749846E-002)
