(0.91863692746987080,-0.57166140929108444)
(0.44681572612857973,-0.95734886535212216)
(0.53914952072562616,-1.0240625817329754)
(0.82415028983403693,-0.72192313463032198)
(0.70077306111814375,-0.31576024329448243)
(0.72875284412090924,2.60124018420771763E-002)
(1.1427887127913976,0.16920237046205638)
(1.1871495073635938,7.94108230111996716E-002)
(0.78480051020858355,-0.12799920609537502)
(0.63513852605803955,-0.37559515688439549)
(0.77106730252508671,-0.56600113099373961)
(0.77657505775445057,-0.57236488226568161)
(0.73028068528567247,-0.48185313917422401)
(0.83219493764243535,-0.46875518542711975)
(0.95803701778814487,-0.51953127982932878)
(1.0161154281622424,-0.56288851694240538)
(1.0039280820582368,-0.59111324345609240)
(0.86959370714948481,-0.55775545553778172)
(0.77262001796805813,-0.42318443718022658)
(0.91245889180408257,-0.29152013239998542)
(1.0764235873547050,-0.29845963392512881)
(1.0465669910685862,-0.35420584669848393)
(0.98201111278349951,-0.23464130708806630)
(0.92941798481185267,6.52431263635384617E-002)
(0.73577699261326779,0.41253128939096667)
(0.44324305068748543,0.77615773933382315)
(0.13129094691102550,1.0126216887330104)
(-0.12058847881803814,0.94161855324325072)
(-3.32019241635719831E-002,0.78929756105192628)
(0.37452586927811898,0.83111608026070083)
(0.64149682512959982,0.91528312341596951)
(0.64550490430096663,0.92167992099170903)
(0.61152594444391806,0.93709305079759919)
(0.55675697799308010,0.88071260207104152)
(0.51881064969532087,0.75703903458079125)
(0.61487042251926260,0.78538843894474664)
(0.69867178515236250,0.88592930260683400)
(0.73214942502329405,0.82664145999558369)
(0.89874067226051135,0.66367059657665506)
(0.99611656753612465,0.48076234439574911)
(0.81177504196692996,0.31523860873578435)
(0.77591258123855367,0.27586500573334582)
(1.1252339667289548,0.21811791655064816)
(1.3301758425292354,-1.54472360867680125E-002)
(1.1078859671788464,-0.13352191847717404)
(0.85352331031528061,-8.44705908162897701E-002)
(0.80969479311847237,-0.29892928952685449)
(0.81758992141320741,-0.64685459595861583)
(0.73255107552744092,-0.64299108486097867)
(0.47811005628095338,-0.58674329101265865)
(0.11466798783515786,-0.87752889065835160)
(-2.66496299460246000E-002,-1.0531804288017428)
(0.13906276891431046,-0.81165984694791737)
(0.11872912335492425,-0.65759384869447024)
(-0.34712366494948482,-0.81903575215365332)
(-0.80105310386305639,-0.89661155683357641)
