(-0.39164494915877146,1.1233467257106320)
(-0.62509004538954160,0.53350714756366591)
(-1.0103351419670328,-0.12023437270358489)
(-0.97798078939963196,-0.26220153466826090)
(-0.71547356458429467,-0.33357996603597867)
(-0.74507448942163457,-0.62085556484539595)
(-0.74738713672927759,-0.84935786282235259)
(-0.34259622332139239,-0.94664418369173653)
(8.46252044384473434E-002,-1.0041852799094064)
(0.30340944836176448,-0.89760992910916315)
(0.55688723451318456,-0.48867705881937518)
(0.80655351707822498,0.10595910142151455)
(0.76672580612672503,0.66263552185885766)
(0.28487880583757791,1.0846962511756144)
(-0.53719420075448387,1.1606710034182701)
(-1.1649990926768812,0.58167230543008919)
(-1.1546198424436083,-0.29918471898102345)
(-0.73079095982895459,-0.78620100171931218)
(-0.19409781541023130,-0.95958014251516621)
(0.34245731655545675,-1.0444833473082415)
(0.62688886925689280,-0.75771512969907739)
(0.76481858702820094,-0.41097000083494006)
(1.0978457022127239,-0.56971907529510346)
(1.2806788033421510,-0.67633473077654871)
(1.0107465374369975,-0.21829094798951881)
(0.80445261273679325,0.25178118886002870)
(0.88259928681965738,0.46436183220516680)
(0.92019927079567554,0.62224561891712937)
(0.92734717277660328,0.65707560200233872)
(0.90949321529544636,0.76898417348399906)
(0.64510279121155711,1.0999562332148087)
(0.26929156895355871,1.0883617012064433)
(-3.32054150816629423E-002,0.72216775670846922)
(-0.32654226649393320,0.62985465017110298)
(-0.59106846393534507,0.59919808142062814)
(-0.87799195343170888,0.26907502572227637)
(-1.1294273905087857,2.04551057217609578E-002)
(-0.95233814716356469,-0.16888648148634205)
(-0.56660892412366093,-0.62245945137928360)
(-0.60679624415217104,-0.98707512709297063)
(-0.69747688659236440,-1.0542592884073068)
(-0.22583877805654012,-1.0653593574833353)
(0.40627968929476438,-0.89899766699633177)
(0.76983147993921464,-0.57360302378044548)
(0.97061635773141930,-0.45814231104484243)
(1.0242963325655550,-0.31024705424935189)
(0.97102894033533116,0.18841786547295594)
(0.89111473933564633,0.56709782472044101)
(0.73982928672749382,0.56271910857054996)
(0.70657990659377923,0.55279985567326340)
(0.74765817750004815,0.65423579200944848)
(0.38236873728517823,0.75790475667668922)
(-0.12320597633743341,0.88309501798258183)
(-0.18292374945241732,0.86042411177179068)
(-0.17624127203467249,0.63199231628467523)
(-0.32640366729714432,0.59234280890741642)
(-0.16619192599653537,0.82322957127218399)
(-2.22359776502375484E-002,0.88615414899802358)
(-0.48577627211818780,0.68021642091099288)
(-1.0721412726457653,0.44247714523048931)
(-1.2160366144572565,0.14820561033203977)
