(0.80921327217587935,-0.78115544355293087)
(0.88906102682324661,-0.70063621746076465)
(0.82616032578906795,-0.66968387630432225)
(0.55902966326727865,-0.71826237102501611)
(0.41687002533999873,-0.73381140921002119)
(0.35392187547372100,-0.74089830849643490)
(0.19217076710054248,-0.83105089565878720)
(8.65999094166108874E-002,-0.94904526947298695)
(-1.99941331089126817E-002,-0.99163519948990075)
(-0.30059274860130270,-0.91021587121180980)
(-0.50075274421162630,-0.67553588046855606)
(-0.52691455053497271,-0.41900023624279970)
(-0.65704497623836178,-0.39145199873373748)
(-0.81493862469144507,-0.52522027754657641)
(-0.82376992243794278,-0.50304028142812141)
(-0.85699752895350056,-0.30204418599843275)
(-0.89897731117013890,-5.93943078109397948E-002)
(-0.79909836963198677,0.26684262334980585)
(-0.74984012758924035,0.57308967372955544)
(-0.81130203447898219,0.62644648821238325)
(-0.74040586970761280,0.57297427759526331)
(-0.54672341902243460,0.66198564088526490)
(-0.37090399410068992,0.80381316080711540)
(-0.20916737868646518,0.91064597940424141)
(-0.10819360856713500,0.99807623103911614)
(-4.42685260277778103E-002,0.96915511297575707)
(9.90840724333016398E-002,0.89572324894806354)
(0.21078002135193241,0.95609330966131745)
(0.23031050819999771,0.98037544740841942)
(0.37615168955066713,0.83202176130570815)
(0.64127784628244044,0.74269331226486668)
(0.79143934932108873,0.74109163723827720)
(0.85837641104625273,0.60401300275696268)
(0.96560377968007505,0.35703933895415590)
(1.0437373974173987,0.10166282154383205)
(1.0567130073043738,-0.15634541424944637)
(1.0705465296306136,-0.30908134385150371)
(1.0514359266417197,-0.37264077532033063)
(0.90921321436284352,-0.54882695174166951)
(0.72404408494292738,-0.80443240493782708)
(0.64193330906614465,-0.98049804315113043)
(0.51641317936674214,-1.0782438548883313)
(0.16975915500830374,-1.0724515114462210)
(-9.06206806308001434E-002,-0.97189064272125525)
(-3.93620435745309638E-002,-0.94414552010646124)
(-7.13652584314066196E-002,-0.98063827140955218)
(-0.34884584338927133,-0.93927034852900315)
(-0.52175328521364583,-0.87018955588778923)
(-0.59540870808195112,-0.78698794452123566)
(-0.70115318813491201,-0.61086976540129001)
(-0.58296498080092551,-0.51148773599303432)
(-0.33915468302582485,-0.65457014404156644)
(-0.38835330158274661,-0.85682537895336175)
(-0.55298170915540024,-0.90589906991209557)
(-0.54431340635200409,-0.77803267522906594)
(-0.58183633876894680,-0.56242437673448897)
(-0.73497243547915425,-0.48413568980280974)
(-0.79907380510214088,-0.63631326515384401)
(-0.78540466519981000,-0.75236147733418890)
(-0.74083893964898140,-0.68725716590665087)
(-0.66551273274822742,-0.65002498199740111)
(-0.68838378395055444,-0.65755005181420723)
(-0.81468527077103758,-0.48665707441597800)
(-0.90772447459390404,-0.24874064505655294)
(-0.91791515209733909,-0.24239687998101128)
(-0.81912954455473797,-0.36514128544737040)
(-0.73901120108942642,-0.35244736162616858)
(-0.89952462630495478,-0.27303183775208678)
(-1.1084437120090427,-0.22397746135583232)
(-1.0899733234149924,-6.90420811540066182E-002)
(-1.0266990238688751,0.11169803282448598)
(-0.94904367430783532,5.51451118359300163E-002)
(-0.56247747094941958,-5.77711403822005476E-002)
(-2.44620897015919991E-002,8.83383859593082077E-002)
(0.30147278555582846,0.22146885172570552)
(0.51432078702925177,2.09617324827077178E-003)
(0.75942172855876378,-0.27674636175647310)
(0.92484059744285141,-0.28306643627645350)
(1.0002120648667043,-0.22531798956632998)
(1.0653432858852947,-0.33650236073964457)
