(0.92241893534748665,-0.18903584475269142)
(0.77096667874804614,-0.62417283236544474)
(0.18855239699288098,-0.92439912668849322)
(-0.38404160866911019,-0.89296912332777789)
(-0.65588413588070404,-0.58029114263435533)
(-0.76315167039418541,-0.31652870609657002)
(-0.87694485947605960,-0.15727539162348628)
(-0.89170542524524499,0.17126400156104099)
(-0.56097165832342466,0.61919625860247984)
(8.62009949472136161E-002,0.84729218005793450)
(0.69690837156202912,0.74470766811186917)
(1.0097141406497792,0.41167495382220082)
(1.0526716991221603,6.91511581262090891E-002)
(0.96903369212133106,-8.41230902927328494E-002)
(0.80280671616794064,-0.27968105112802927)
(0.46698946149605636,-0.75541238688981727)
(-1.47078425940664892E-002,-1.0953186085536082)
(-0.41648512062634591,-0.97130070516546252)
(-0.61246465197138122,-0.66709969743147624)
(-0.68364417371331454,-0.23511442928412779)
(-0.74274481867300457,0.42090614820207134)
(-0.83065171555354578,0.82724340691561449)
(-0.75811724522047630,0.80882391562428246)
(-0.28250495821874361,0.93621138003593174)
(0.33642370462883031,1.1753912837260789)
(0.67292018373660334,0.89702818887320446)
(0.86391310929868126,0.30060895943311350)
(1.0853539192303421,-1.68946132435487395E-002)
(1.0963915671326152,-0.18133738870320881)
(0.94214953140606605,-0.44387107467332065)
(0.85899263556362326,-0.65458798433347598)
(0.58608512349184294,-0.81254112676416845)
(1.75814480580239567E-002,-1.0008596327367976)
(-0.37707618005863447,-1.0154288324334515)
(-0.51374211980644946,-0.77174169956537342)
(-0.74612655333839051,-0.46696035308716244)
(-1.0167897823054362,-0.19086473616013960)
(-1.1035373345144346,3.90499940330846229E-002)
(-1.0639709823953327,0.16471556174933577)
(-0.95601455155654547,0.28236514233541377)
(-0.87589317372357989,0.47448388474183573)
(-0.98632671496250957,0.60152288705596235)
(-1.1025478636170734,0.62793361020475613)
(-0.97321852670206077,0.69210714186168587)
(-0.78344669674920631,0.77665162570163737)
(-0.69697401726785635,0.82484447943813266)
(-0.56889682306363598,0.91639162581326561)
(-0.41966115929553588,0.99517894032894427)
(-0.40356791030287142,0.92149953456952571)
(-0.43762600648240801,0.81409843313650843)
(-0.43052843753475273,0.83083241161336951)
(-0.48043465767762916,0.90999108544235718)
(-0.59599008646211571,1.0331024109687053)
(-0.61706139527833992,1.2061467716077077)
(-0.48495721049444618,1.1952807640799152)
(-0.38854046692028177,0.91098555943218962)
(-0.53388898224436521,0.70006305182506734)
(-0.80741195045030945,0.70260302475113900)
(-0.93656537556069741,0.59507015634477378)
(-0.91893994128846568,0.32988515259273243)
(-0.91317050420838752,0.21593446203412869)
(-0.95376378756283819,0.17569993350756261)
(-1.0260005283985660,-0.11067584772688555)
(-1.0113227087893557,-0.54411142272755120)
(-0.72597118281566564,-0.84825937771659299)
(-0.39903398294210940,-0.96599934652528852)
(-0.42416177529121790,-0.89282573519468234)
(-0.56425350909248895,-0.75302271558012635)
(-0.39627468874657779,-0.85363465437825559)
(-7.24186637700335867E-002,-1.1351325395164868)
(0.23619706634239646,-1.1444884383225227)
(0.64155834850022964,-0.80028181915340380)
(0.92970692633220942,-0.50412265067456596)
(0.87169431787350704,-0.49055705790520499)
(0.80866431260138028,-0.56246101129532233)
(0.97977067798368567,-0.45537192185223568)
(1.1402907680815799,-0.24348845331111518)
(1.1942293374646094,-0.16248685416669106)
(1.2193064681165477,-0.13098810277094636)
(1.1244100956979208,3.62572550128268944E-002)
(0.93689024871023385,0.18652969430263555)
(0.84748591910267312,0.17525185579163524)
(0.83164749818493156,0.13400074268854506)
(0.75414757675334931,0.14725413975326057)
(0.63673630791171221,0.29928779434808289)
(0.54224791633184899,0.71154230356198334)
(0.38894377809988168,1.1097808726994134)
(1.55026159455584622E-002,1.1266965026870503)
(-0.47927713529803273,0.94792622597523968)
(-0.73444687523030694,0.85786724518307178)
(-0.75845268262874088,0.72411793845215455)
(-0.90177285157523501,0.37688756572407534)
(-1.0424717731621052,-0.14437872095821891)
(-0.83075104008701528,-0.64900847119338456)
(-0.46527664162727134,-0.86638354335544987)
(-0.19405363550063515,-0.82097530569358679)
(0.16301476894350808,-0.76933721321658366)
(0.57138870842455869,-0.63272982448611792)
(0.72449223367748206,-0.33018578464148107)
(0.70559792539251798,-0.22081961969167374)
(0.80509532430031694,-0.30861863187711397)
(0.95007561759471759,-4.04549436501285831E-002)
(0.85165082184334029,0.55311729406038279)
(0.52792427344927262,0.84327095300087285)
(0.37519854142269704,0.76060128106414593)
(0.52671661227123756,0.72567201775951462)
(0.56928292511429368,0.80447887488760350)
(0.36246694734793161,0.84965704654738372)
(0.27470527181909399,0.92185693612938213)
(0.29452006865076019,1.0319123574563815)
(0.16867074877336824,1.0137589850233490)
(0.14283372824426652,0.86524434730131561)
(0.29892362536289391,0.77007296661113411)
(0.12387192643109840,0.80247769845794226)
(-0.45201767219008249,0.85024392701918816)
(-0.87417189860684774,0.67435375202675729)
(-0.95147513761295643,0.17205003719075151)
(-0.95171050422269965,-0.23356511223765875)
(-1.0339842512016091,-6.75089163443386431E-002)
(-1.1280504078328775,0.28425081557137899)
(-1.1135598305277126,0.12502871472907143)
(-1.0429284575493822,-0.37277134745342944)
(-1.0471364732104105,-0.63948058694751730)
(-1.0152572007847100,-0.66833805437036253)
(-0.82454229267427226,-0.64603208677962876)
(-0.59229224237720013,-0.58834964137247958)
(-0.33433954472718613,-0.68194342542753639)
(-5.75262444765156644E-003,-0.99883287190263736)
(0.21924777152210406,-1.1240570414289563)
(0.30799512960455699,-0.89654504659730327)
(0.43360860911353594,-0.79551326035617453)
